5, 0.0
10, 0.015626907348632812
15, 0.046914100646972656
20, 0.09375548362731934
25, 0.18755054473876953
30, 0.37503933906555176
35, 0.54775071144104
40, 0.7764043807983398
45, 1.1005256175994873
50, 1.4957680702209473
55, 2.025782346725464
60, 2.5466654300689697
65, 3.2682154178619385
70, 4.11583685874939
75, 5.00597071647644
80, 6.150499105453491
85, 7.399362325668335
90, 8.777385473251343
95, 10.310047388076782
100, 12.586954355239868
105, 13.995307683944702
110, 15.923657178878784
115, 18.1439049243927
120, 21.130662441253662
125, 23.335274696350098
130, 26.513302326202393
135, 29.249717235565186
140, 33.27164697647095
145, 36.64122152328491
